Date,Target,Naive,Naive (drift),AutoSARIMA,AutoSARIMAX,Exponential Smoothing,Theta,STL,XGBoost,XGBoost (+ X)
2010-01,61.91996893918061,59.512416503610446,59.63455661016132,60.69227480459681,61.45150316766518,60.05032504976476,60.09773042606007,62.04869072634187,60.09755,59.896275
2010-02,62.37455303158646,61.91996893918061,62.07385088363453,60.86005202853003,61.2374909235686,61.4500836307233,60.107429303967535,59.79561261734075,59.032986,60.58348
2010-03,62.61867531019759,62.37455303158646,62.532554183546566,61.88148058233131,61.45756091288186,62.14385118954827,60.11687346953856,63.47347880539585,59.94648,61.49737
2010-04,70.65136455304498,62.61867531019759,62.777840261166496,63.01142251588844,62.13497859909111,62.500501774596025,60.12581126080607,62.50042834349446,61.45232,62.079674
2010-05,71.22226818645338,70.65136455304498,70.91550982790561,68.37717072710115,69.09786703406712,68.69342132196925,60.14357772718852,67.32128082423357,62.451622,61.87799
2010-06,70.49483588753641,71.22226818645338,71.49044975550541,71.64280663709386,73.64854032006156,70.73133953471776,60.16056647315198,74.55521392701087,70.890335,69.8999
2010-07,74.6045834764057,70.49483588753641,70.75008740635508,71.77781095475454,70.87555237211006,70.54446097235683,60.17534907479764,71.20583780785114,70.4858,70.49324
2010-08,72.88097878848521,74.6045834764057,74.90925161150706,73.41332318743589,71.9305554822264,73.74737082270465,60.19346309339011,73.7666492085988,71.118286,70.43073
2010-09,78.31910551355075,72.88097878848521,73.15997258405466,73.48741853488609,73.33401847805021,73.06382668263208,60.208260581539825,75.06699221975113,72.525085,72.880775
2010-10,80.52609780110645,78.31910551355075,78.66258847073891,76.9335245815131,77.20835221998482,77.18797917181718,60.22756824264617,75.44206634598127,74.59781,73.29148
2010-11,79.86160720496079,80.52609780110645,80.89258704632383,80.18383391364769,81.97392300498674,79.8924201414566,60.247607265719736,82.67248344171439,78.31566,78.10557
2010-12,74.71036016284368,79.86160720496079,80.2155235252835,80.12543730978692,81.04792855031224,79.86752452700873,60.265396287895996,80.76614375760735,80.50758,80.514275
2011-01,74.19552886979632,74.71036016284368,74.9979492137394,76.24203569040456,77.12358367958706,75.74508341525836,60.27672153703715,78.54053303683655,80.51084,76.36708
2011-02,73.25555652004421,74.19552886979632,74.47356529754987,74.31782746342637,73.67155612609338,74.4845268859809,60.28658790085069,72.29523885784366,74.19608,75.281166
2011-03,76.37217405497289,73.25555652004421,73.51926343276827,73.32933290423497,71.98955971681005,73.4856792372662,60.29471423878809,73.63262978551104,73.27254,59.735638
2011-04,72.88772011429185,76.37217405497289,76.66905434702491,76.29934339297347,74.7864401063801,75.81369523598451,60.30494643645111,74.43630121884061,74.46824,74.52853
2011-05,72.0561743646582,72.88772011429185,73.14113679447338,73.91182744029477,73.66626905578721,73.47570480794593,60.311192203377814,76.12266645268564,73.18305,75.24945
2011-06,72.74809906058502,72.0561743646582,72.29726192631911,72.15178381215775,71.25700500681324,72.33632308043288,60.31610530774184,71.29777755330694,73.31215,72.4214
2011-07,70.01592436085812,72.74809906058502,72.9942522080242,72.69082925640372,71.8641747679128,72.6662807611809,60.321093817575,72.52271271365451,72.125435,66.72054
2011-08,71.4441052929577,70.01592436085812,70.22898497666212,70.53791409123315,71.09594257023468,70.54488405271688,60.323285680134816,71.41203894020845,71.985085,72.066795
2011-09,77.42666648337851,71.4441052929577,71.67051887927043,71.36166693429584,69.87380993225304,71.26369870006417,60.32631286431579,69.7789125829302,69.56769,75.93285
2011-10,76.96546558516707,77.42666648337851,77.71564689147503,76.34522561717665,75.49224155466732,76.19622452322677,60.33374236913883,75.52017905989482,74.12332,73.592224
2011-11,76.12656701769126,76.96546558516707,77.24637952760436,77.38401211837514,77.16955575111069,76.82216974755269,60.340156253252644,79.34616303028943,75.6118,74.94019
2011-12,75.7993283966721,76.12656701769126,76.39556806108692,76.18656608795246,76.75748170113786,76.26231021237963,60.3453399327777,77.26900597246035,75.516495,75.81723
2012-01,73.0913878796593,75.7993283966721,76.06205323307393,75.70761424804775,77.60401571313213,75.88997408418109,60.349770621339516,76.24925717243943,74.22556,71.58603
2012-02,71.70824645619484,73.0913878796593,73.32316828529639,73.54816202937947,72.70930480554603,73.63470752553553,60.3517529088072,74.22562643065085,75.23332,74.05401
2012-03,71.69508135025352,71.70824645619484,71.9233781831814,72.07494169380715,71.40751600082285,72.06729521337442,60.35243350480694,71.66708210639969,74.58369,70.46507
2012-04,75.98721545664404,71.69508135025352,71.9078835177204,71.32657316830347,72.15394621959155,71.76427150554622,60.35288128748524,71.27500801289285,75.158195,73.08596
2012-05,72.9941560563697,75.98721545664404,76.24122299723136,74.95896549651289,75.57392720654354,75.1812339997215,60.356093063509334,73.68906713083156,73.11957,73.0793
2012-06,76.85167801107944,72.9941560563697,73.21569292754842,73.82188257135088,74.36849974404106,73.42505671226154,60.35690917698832,76.71062745101143,76.46062,71.86883
2012-07,75.56923228169505,76.85167801107944,77.10921473457034,75.93164894413188,74.59683717504305,76.14939323012892,60.360069292616046,73.7240873532175,75.68545,73.52928
2012-08,70.42391542437448,75.56923228169505,75.8116711380009,75.94950805787572,75.45410238361308,75.68821874024397,60.362038645746644,78.63394705901669,74.71216,73.15903
2012-09,72.76619374868828,70.42391542437448,70.61404597278104,71.96357031777534,74.29567129063634,71.51696871827293,60.360432186162335,72.051883623468,71.875015,71.43122
2012-10,77.08770640281074,72.76619374868828,72.97701802570934,72.10168583771552,70.97305842679924,72.50597161332416,60.360219431142546,70.31602648018142,72.517365,72.30317
