Model,MAPE,RMSE,sMAPE,MAPE Ranking,RMSE Ranking,sMAPE Ranking
Naive,0.0284475023713426,2.736189111596504,1.8936384417058332,1,1,1
Weighted Ensemble: Inverse RMSE,0.0303370501764824,2.868219949498226,2.024876920691272,2,2,2
Weighted Ensemble: Simple,0.0309604298775952,2.923126866417145,2.067259727037856,3,3,3
XGBoost,0.0367408608854312,3.5545015834842117,2.471410556042335,4,4,4
STL,0.0440349706459987,4.202281320798969,2.928099959304244,5,5,5
