Model,MAPE,RMSE,sMAPE,MAPE Ranking,RMSE Ranking,sMAPE Ranking
Weighted Ensemble: Inverse Variance,0.0285,2.5775,1.9013,1,1,1
Weighted Ensemble: Simple,0.0285,2.5909,1.9038,2,3,2
Weighted Ensemble: Inverse RMSE,0.0286,2.5851,1.9062,3,2,3
AutoSARIMA,0.0302,2.638,2.0111,4,4,4
Exponential Smoothing,0.0309,2.7437,2.0562,5,5,5
Weighted Ensemble: Inverse Error Covariance,0.031,2.7638,2.0624,6,6,6
AutoTheta,0.0321,2.8222,2.1367,7,8,7
Meta Ensemble: SVR,0.0323,2.9274,2.1564,8,10,8
Meta Ensemble: Random Forest,0.0327,2.9178,2.1863,9,9,9
Naive,0.033,2.7912,2.1947,10,7,10
TiDE,0.0333,3.0639,2.2213,11,11,11
XGBoost,0.0347,3.1808,2.3282,12,12,12
STL,0.0448,3.9997,2.9799,13,13,13
