,Model,MAE,RMSE,MAPE,sMAPE,MAE Ranking,RMSE Ranking,MAPE Ranking,sMAPE Ranking
0,Weighted Ensemble: Inverse RMSE,1.9626719383768791,2.585783667896378,0.02719163439682231,1.8208244442015102,1,1,1,1
1,Weighted Ensemble: Inverse Variance,2.0081596583314703,2.6032077724993665,0.0278140903748702,1.8623507511759358,2,2,2,2
2,Weighted Ensemble: Simple,2.022349909130988,2.6090298591885963,0.02801762183151751,1.8735414237633454,3,3,3,3
3,Exponential Smoothing,2.073113475672101,2.706564346524851,0.028698270343185513,1.923401123429775,4,4,4,4
4,Naive,2.090016675236948,2.747925229849155,0.028984684703211326,1.9411800629592901,5,6,5,5
5,AutoSARIMA,2.111370762475592,2.7305804774325533,0.02917465460449375,1.9535975783349595,6,5,6,6
6,Naive (drift),2.1175021538860213,2.748343448208751,0.029382367362228125,1.9636718240644184,7,7,7,7
7,Meta Ensemble: RandomForest,2.136052989173152,2.8089240922409213,0.029528752258051762,1.984010498520974,8,8,8,8
8,AutoSARIMAX with covariates,2.2495033525204913,2.9684966646905764,0.03130258468732981,2.08566044183851,10,9,9,9
9,XGBoost with covariates,2.2971790922433053,3.1303661311251862,0.03159100565342541,2.131706106087868,11,12,10,10
10,XGBoost,2.2381828036431424,2.98684786650859,0.0316093325485855,2.1357538423734517,9,10,11,11
11,Meta Ensemble: SVR,2.3507018623012805,3.0697565243574587,0.03272017317908971,2.1870903623675746,12,11,12,12
12,Weighted Ensemble: Inverse Error Covariance,2.360106078994354,3.13327847179024,0.03294790168642546,2.207776221455913,13,13,13,13
13,STL,3.5297551144570964,4.620505740634292,0.049141734596665786,3.266420727394857,14,14,14,14
14,Prophet,4.340726994635341,5.2037201760469625,0.06101841294276279,4.007068731524026,15,15,15,15
