,Model,MAE,RMSE,MAPE,sMAPE,MAE Ranking,RMSE Ranking,MAPE Ranking,sMAPE Ranking
0,Naive,0.006642972972972972,0.008752665539940049,0.0060431812135491765,0.40266658479836,1,1,1,1
1,Weighted Ensemble: Inverse RMSE,0.008979250477816217,0.011272541988857186,0.008167075308929189,0.544611817681551,2,2,2,2
2,Weighted Ensemble: Simple,0.009945470469506076,0.012397135928509294,0.009048686487244523,0.6035309448379783,3,3,3,3
3,STL,0.014147996128744584,0.017665049061465394,0.012884378598849692,0.8599812639553034,4,4,4,4
