,Model,MAE,RMSE,MAPE,sMAPE,MAE Ranking,RMSE Ranking,MAPE Ranking,sMAPE Ranking
0,Naive,0.006642972972972972,0.008752665539940049,0.0060431812135491765,0.40266658479836,1,1,1,1
1,Naive (drift),0.006826048401790502,0.008873088085832898,0.006210740590613348,0.41391141145097715,2,2,2,2
2,XGBoost,0.0075473580561457665,0.009867822870820747,0.006833405843178525,0.4560776023762518,3,4,3,3
3,Weighted Ensemble: Inverse RMSE,0.007851384896894511,0.009761611033370449,0.007133991802134862,0.4756465518798724,4,3,4,4
4,Weighted Ensemble: Simple,0.008365361829387592,0.01027567540269014,0.007600665026329581,0.5068526706446822,5,5,5,5
5,STL,0.014147996128744584,0.017665049061465394,0.012884378598849692,0.8599812639553034,6,6,6,6
