Model,MAPE,RMSE,sMAPE,MAPE Ranking,RMSE Ranking,sMAPE Ranking
Naive,0.05009974309309066,2.7964728762566566,3.325732992498382,1,1,1
Weighted Ensemble: Inverse Error Covariance,0.050145723015629425,2.8054453628429923,3.328173632699342,2,2,2
Meta Ensemble: SVR,0.05217708188767309,3.0979874603107316,3.4057457111741543,3,5,3
Weighted Ensemble: Inverse RMSE,0.05250389513663751,2.9734084622932713,3.480482285487296,4,3,4
Weighted Ensemble: Simple,0.05432315284915113,3.0912557832987346,3.5978191982007988,5,4,5
Weighted Ensemble: Inverse Variance,0.054399836296438936,3.1027295099435883,3.6025946043587327,6,6,6
AutoSARIMAX with covariates,0.06099537235053947,3.5897251112821214,4.02363194796892,7,7,7
Meta Ensemble: Random Forest,0.06264970565519956,3.6573461013887365,4.115971199879207,8,8,8
