,Model,MAE,RMSE,MAPE,sMAPE,MAE Ranking,RMSE Ranking,MAPE Ranking,sMAPE Ranking
0,Weighted Ensemble: Simple,1.9611562645852056,2.5947821895921566,0.02741979539500207,1.8391398039078377,1,2,1,1
1,Weighted Ensemble: Inverse Variance,1.9666908557035787,2.5957079683325035,0.027490554013681775,1.8449659497538826,3,3,2,3
2,Weighted Ensemble: Inverse RMSE,1.9624144623760098,2.5785856445156377,0.027491487532021006,1.8439746106955666,2,1,3,2
3,Exponential Smoothing,2.0593552618658397,2.6679166974708957,0.02884793094589733,1.9336061522926984,4,4,4,4
4,AutoSARIMA,2.087225267079354,2.688896078134267,0.029153947626532624,1.9526862450627551,5,5,5,5
5,Naive,2.094541256766564,2.7172434760551956,0.02945266562143679,1.9721922298909538,6,6,6,6
6,Naive (drift),2.121581517075299,2.717871845818929,0.029849467485077164,1.994632554196924,7,7,7,7
7,Meta Ensemble: RandomForest,2.1947364707511636,2.771463327052401,0.030667149562022874,2.0576944781787425,8,8,8,8
8,Meta Ensemble: Ridge,2.2165654921116635,2.8820200303697603,0.03126522316803763,2.0874964707362316,9,9,9,9
9,Weighted Ensemble: Inverse Error Covariance,2.2330369146837064,2.9583300600613405,0.03142515223245004,2.103188362857458,10,10,10,10
10,XGBoost with covariates,2.3226879865434946,3.1467862668807616,0.03239920946856204,2.1883606250788037,13,14,11,11
11,Meta Ensemble: SVR,2.320088789917254,2.969595719697148,0.03298570068223166,2.1986129901747815,12,11,12,12
12,XGBoost,2.3130070060621755,3.0706605963992,0.033173459385099406,2.244723802269156,11,12,13,13
13,Meta Ensemble: Linear Regression,2.3616799388514944,3.1069950577915395,0.03340957155194453,2.2471109833797147,14,13,14,14
14,STL,3.4350317096079173,4.510926528985751,0.04817953417263451,3.2008186823026454,15,15,15,15
15,Meta Ensemble: MLP,12.996535413316149,15.28438113360332,0.18398699085495052,11.33641819040195,16,16,16,16
